1,Accesses,These are accesses,1
2,Data Type,These are data types,1
3,Job Status,These are job statuses,1
4,Document Type,These are document types,1
5,Job Document Type,These are Job Document Types,1
6,Gender,These are genders,1
7,Manufacturer,These are Manufacturers,1
8,Asset Type,These are Asset Types,0
9,Customer,These are Customers,1
10,Locations,These are Locations,0
